day,Rain_Data,Temp_SoilDailyData,Temp_DailyPotEvap
294,2.5,26.84704444,3.497999628
295,0.588888889,26.6138,3.401066021
296,0.888888889,26.58052,3.387428602
297,2.39375,26.52164,3.363418696
298,2.125,26.729,3.448644818
299,3.815,26.6394,3.411589121
300,0.5375,26.69572,3.434840405
301,4.111111111,26.78276,3.471046455
302,0.111111111,26.79812,3.477470138
303,5.322222222,26.81348,3.48390415
304,3,26.97988,3.554269477
305,0.788888889,26.793,3.503814056
306,0.688888889,26.72388,3.474768062
307,0,26.76996,3.494108658
308,3.2375,26.78276,3.499497655
309,3.24,26.92868,3.56144384
310,0.8,26.9978,3.591115977
311,1.975,27.08484,3.628782984
312,0.427777778,26.88772,3.543960338
313,6.016666667,26.96708,3.577902177
314,2.5375,27.02084,3.601053847
315,0,27.05924,3.617669442
316,1.03,27.1898,3.674654199
317,0.05,27.10532,3.637694849
318,1.921428571,27.06436,3.619889815
319,1.766666667,27.07716,3.625445855
320,11.31111111,27.10788,3.638810147
321,0,27.13348,3.649979215
322,1.941666667,27.12864444,3.647867261
323,5.9125,27.09735556,3.634226901
324,7.75,27.09451111,3.632989034
325,5.525,27.16932,3.665665074
326,8.055555556,26.88402222,3.542385623
327,2.471428571,26.94375556,3.567897462
328,1.53125,26.98073333,3.583769802
329,1.79375,26.97504444,3.581323952
330,7.175,27.02055556,3.600931014
331,14.45,26.94944444,3.57033541
332,9.24375,27.03477778,3.607077106
333,2.485714286,27.20828889,3.682785496
334,1.9,27.15424444,3.659060061
335,5.73,27.05468889,3.615696758
336,2.00625,27.03762222,3.608307404
337,5.955555556,26.88516,3.542870086
338,7.461111111,27.02084,3.601053847
339,4.9,26.82116,3.515708023
340,5.255555556,26.91076,3.553785661
341,3.35,27.03193333,3.605847168
342,3.033333333,27.18837778,3.674029348
343,6.142857143,26.90677778,3.552085777
344,8.608333333,26.77252,3.49518588
345,10.75,26.81348,3.512460741
346,11.9,26.76228,3.490878728
347,10.69285714,26.88772,3.543960338
348,16.95,26.71364,3.470482851
349,2.45,26.83652,3.522210403
350,15.48888889,26.9978,3.591115977
351,7.44,26.953,3.571859857
352,8.25,26.9594,3.574605276
353,16.48571429,26.78532,3.500576322
354,7.46875,26.64793333,3.443095808
355,8.1,26.99524,3.590013225
356,3.594444444,26.7738,3.495724599
357,6.14375,26.8218,3.515978747
358,5.933333333,26.83652,3.522210403
359,7.5625,26.57796,3.414138789
360,5.861111111,26.85273333,3.529085337
361,7.816666667,26.88117778,3.541174716
362,6.614285714,26.5722,3.411764691
363,11.28571429,26.65077778,3.444277466
364,8.188888889,26.44313333,3.35894775
365,3.5125,26.63086667,3.43601332
